PARTIDO;PARLAMENTAR;COMBUSTIVEIS;DIVULGACAO;TELEFONIA
AVANTE;6;43679,63;82865,43;7402,32
CIDADANIA;6;26844,13;76150,18;7495,23
MDB;39;33979,44;104345,68;7746,62
NOVO;8;7896,35;15944,32;456,49
PATRIOTA;5;34287,08;83202,29;4414,83
PCdoB;8;38305,19;98509,84;8202,14
PDT;19;31744,37;138838,33;7019,46
PL;82;28592,48;84650,99;4529,78
PODE;9;39532,43;81211,34;6917,57
PP;63;35927,32;93401,8;7275,81
PROS;5;32237,86;105810,25;5656,1
PSB;25;29850,49;86428,78;5708,61
PSC;11;29286,94;103494,26;2406,32
PSD;53;33345,65;82309,44;6947,09
PSDB;26;27121,34;66476,86;7524,16
PSOL;8;23890,04;74840,17;8730,15
PT;56;40753,43;113498,16;10815,82
PTB;3;26857,52;95530;12503,06
PV;4;30040,73;106729,29;5228,3
REDE;2;26649,33;97891,31;8198,17
REPUBLICANOS;50;27009,85;102065,35;6136,1
SOLIDARIEDADE;8;28089,66;117289,59;5531,5
UNIÃO;58;29703,77;92516,58;5880,41
